,cuntan,wulong,maoping,ThreeGRes,yichang,shashi,chenglingji,chenglingji7,DJKRes,DragonKT,hankou,jiujiang,hukou,datong
9511,7650.0,355.0,0.0,0.0,9580.0,8920.0,0.0,2160.0,291.0,0.0,11800.0,11900.0,809.0,13800.0
9512,6290.0,230.0,0.0,0.0,6610.0,6960.0,0.0,1330.0,259.0,0.0,8830.0,8960.0,201.0,8730.0
9513,8720.0,570.0,0.0,14000.0,12200.0,11100.0,0.0,10100.0,1600.0,0.0,25900.0,25900.0,4770.0,30300.0
9514,11000.0,1990.0,0.0,0.0,11600.0,11300.0,0.0,13100.0,497.0,0.0,28400.0,27900.0,8430.0,35200.0
9515,4900.0,1000.0,0.0,0.0,6200.0,6510.0,0.0,8200.0,1130.0,0.0,16000.0,17100.0,2200.0,19800.0
9516,9560.0,420.0,0.0,0.0,12800.0,13000.0,0.0,4630.0,246.0,0.0,16300.0,17000.0,1380.0,18700.0
9517,6680.0,408.0,0.0,0.0,6870.0,6820.0,0.0,1470.0,622.0,0.0,8700.0,8640.0,1070.0,9120.0
9518,6520.0,260.0,0.0,7000.0,6780.0,7050.0,0.0,1700.0,349.0,0.0,8660.0,8980.0,1340.0,9710.0
9519,6900.0,381.0,0.0,0.0,8320.0,9410.0,0.0,6840.0,1420.0,0.0,19700.0,19400.0,7850.0,26500.0
9520,6400.0,322.0,0.0,0.0,6870.0,6740.0,0.0,1170.0,972.0,0.0,8280.0,8610.0,1060.0,8090.0
9521,5550.0,626.0,0.0,0.0,10700.0,8640.0,0.0,8000.0,271.0,0.0,19300.0,20300.0,5190.0,25400.0
9522,5360.0,596.0,0.0,0.0,8810.0,8750.0,0.0,7260.0,1800.0,0.0,17400.0,17900.0,3200.0,0.0
9523,7320.0,180.0,0.0,0.0,7330.0,6970.0,0.0,1300.0,793.0,0.0,8670.0,8970.0,813.0,9730.0
9524,10900.0,2830.0,0.0,0.0,24500.0,20000.0,0.0,19700.0,635.0,0.0,38600.0,38100.0,9920.0,45800.0
9525,6830.0,265.0,0.0,0.0,6580.0,6770.0,0.0,3000.0,455.0,0.0,10800.0,10600.0,5410.0,15200.0
9526,11800.0,4870.0,0.0,0.0,16100.0,16700.0,0.0,20400.0,270.0,0.0,39900.0,39600.0,9990.0,46800.0
9527,8890.0,270.0,0.0,0.0,7490.0,6980.0,0.0,1480.0,1200.0,0.0,9890.0,11000.0,463.0,12700.0
